Top pages,Clicks,Impressions,CTR,Position
https://www.msu.edu.in/blog/courses-after-12th-commerce-without-maths-best-courses-and-scope,0,2,0%,1
https://www.msu.edu.in/course/professional-diploma-and-hotel-management,0,2,0%,1
https://www.msu.edu.in/course/students-showcase,0,2,0%,6.5
https://www.msu.edu.in/course/b-tech-in-computer-science-and-engineering-cloud-computing-and-cyber-security,0,2,0%,12
https://www.msu.edu.in/blog/course-after-12th-arts-high-growth-fields-you-should-consider,0,1,0%,1
https://www.msu.edu.in/blog/courses-after-12th-arts-with-high-salary-2026,0,1,0%,1
https://www.msu.edu.in/blog/courses-after-12th-global-career-opportunities/,0,1,0%,1
https://www.msu.edu.in/course/b-sc-in-hotel-management,0,1,0%,1
https://www.msu.edu.in/course/b-sc-in-medical-radiology-imaging-technology,0,1,0%,1
https://www.msu.edu.in/course/b-sc-in-medical-radiology-imaging-technology/,0,1,0%,1
https://www.msu.edu.in/course/diploma-in-emergency-medical-technician-emt-course,0,1,0%,1
https://www.msu.edu.in/course/diploma-in-emergency-medical-technology-emt-course,0,1,0%,1
https://www.msu.edu.in/course/m-sc-in-radiology-and-imaging-technology,0,1,0%,1
https://www.msu.edu.in/course/ma-in-applied-english/,0,1,0%,1
https://www.msu.edu.in/course/master-s-in-anaesthesia-and-operation-theatre-technology,0,1,0%,1
https://www.msu.edu.in/course/master-s-in-anesthesia-and-operation-theathre-technology,0,1,0%,1
https://www.msu.edu.in/course/master-s-in-anesthesia-and-operation-theatre-technology/,0,1,0%,1
https://www.msu.edu.in/course/mba-in-business-finance/,0,1,0%,1
https://www.msu.edu.in/course/msu/course/masters-in-optometry,0,1,0%,1
