# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Medhavi Skills University Sikkim
# Property: Medhavi Skills University website
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260923
Page path and screen class,Views,Bounce rate,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/blog/co-creating-the-future-workforce-how-industry-partners-shape-wise-curriculums,106,0.05128205128205128,34,3.1176470588235294,30.941176470588236,164,0,0
/blog/behind-the-scenes-the-exciting-world-of-hospitality-hotel-management,105,0.1388888888888889,12,8.75,92.08333333333333,170,0,0
/blog/bsc-hotel-management-colleges-india-admission-2026,105,0.058823529411764705,18,5.833333333333333,30.055555555555557,168,0,0
/blog/testing-blog,105,0,5,21,59.2,136,0,0
/blog/full-time-vs-part-time-mba-which-suits-you,104,0.07142857142857142,14,7.428571428571429,49.357142857142854,164,5,0
/blog/stipends-to-success-how-36-stipend-hike-marks-major-push-for-skill-development,103,0.02631578947368421,33,3.121212121212121,27.424242424242426,198,0,0
/blog/top-skills-required-to-excel-as-an-emergency-medical-technician,103,0.11764705882352941,23,4.478260869565218,64.56521739130434,171,0,0
/blog/build-career-in-nursing-education-and-certification-requirements,102,0.034482758620689655,15,6.8,46.4,151,0,0
/blog/how-apprenticeships-are-revolutionizing-msme-workforce-development,102,0.10256410256410256,27,3.7777777777777777,26.40740740740741,182,0,0
/blog/career-opportunities-after-completing-hotel-management,100,0.10344827586206896,14,7.142857142857143,47.142857142857146,152,0,0
/blog/why-indian-students-should-consider-taking-the-testas-exam,100,0.02857142857142857,32,3.125,33.15625,186,0,0
/blog/build-your-career-in-operation-theatre-technology-education-opportunities-and-salary-insights,99,0.1282051282051282,30,3.3,17.033333333333335,184,0,0
/blog/career-options-after-12th,99,0.11904761904761904,34,2.911764705882353,28.08823529411765,173,0,0
/blog/is-fashion-designing-a-good-career-option-in-2023,98,0.12195121951219512,27,3.6296296296296298,23.48148148148148,162,0,0
/blog/how-hospitality-students-are-trained-to-handle-real-life-guest-scenarios,97,0.08333333333333333,30,3.2333333333333334,47.86666666666667,173,0,0
/blog/career-opportunities-for-bba-graduates-exploring-your-options,96,0.03225806451612903,11,8.727272727272727,120.72727272727273,148,0,0
/blog/cyber-security-skills-employers-demand-in-2026-and-how-msu-helps-you-master-them,95,0.03225806451612903,25,3.8,43.68,150,0,0
/blog/enterprise,95,0,7,13.571428571428571,85.71428571428571,111,0,0
/blog/understanding-ncrf-and-its-nuances-a-comprehensive-guide,94,0.029411764705882353,28,3.357142857142857,17.178571428571427,171,0,0
/blog/medhavi-skills-university’s-wise-programs:-making-higher-education-affordable-and-accessible,92,0,4,23,24.75,123,0,0
/blog/how-do-i-get-financial-assistance-at-msu-8-frequently-asked-questions,91,0.047619047619047616,17,5.352941176470588,51.588235294117645,133,0,0
/blog/is-interior-design-a-good-career,91,0.1891891891891892,34,2.676470588235294,27.88235294117647,173,0,0
/blog/what-to-do-after-board-result,91,0.11428571428571428,28,3.25,17.071428571428573,160,0,0
/blog/bba-business-management-specializations-placements-salary,90,0.02857142857142857,19,4.7368421052631575,159.89473684210526,139,0,0
/blog/mba-in-luxury-management-a-gateway-to-a-rewarding-career,89,0,21,4.238095238095238,57.76190476190476,150,0,0
/blog/top-5-skills-every-finance-student-should-have,89,0.11428571428571428,27,3.2962962962962963,30.59259259259259,164,0,0
/blog/why-a-bba-in-business-management-with-aimer-business-school-is-your-launchpad-to-an-industry-ready-career,89,0.06451612903225806,21,4.238095238095238,29.238095238095237,149,0,0
/blog/cbse-board-class-12-result-2025:-a-milestone-moment-&-the-road-ahead,88,0.07142857142857142,9,9.777777777777779,13.555555555555555,124,0,0
/blog/diploma-hospitality-hotel-management-colleges-sikkim,88,0.021739130434782608,35,2.5142857142857142,47.05714285714286,143,0,0
/blog/cbse-board-class-12-result-2025-a-milestone-moment-the-road-ahead,86,0.047619047619047616,13,6.615384615384615,33.46153846153846,123,0,0
/blog/bba-vs-mba-which-degree-program-is-right-for-you,85,0.08,7,12.142857142857142,204.57142857142858,130,0,0
/blog/campus/subcategory,85,0.04,16,5.3125,72,109,0,0
/blog/data-science-ai-courses-after-12th,85,0.03125,28,3.0357142857142856,17.285714285714285,146,0,0
/blog/how-to-become-a-medical-laboratory-technician-mlt-with-a-bsc,84,0,20,4.2,48.4,140,0,0
/blog/bsc-hotel-management-admission,83,0.05,31,2.6774193548387095,43.903225806451616,156,0,0
/blog/campus/health-science-and-technology,83,0.06896551724137931,54,1.537037037037037,65.70370370370371,140,0,0
/blog/wise,83,0.04081632653061224,35,2.3714285714285714,23.97142857142857,108,0,0
/blog/bba-in-digital-marketing-why-it-is-a-great-career-path-in-2023,80,0.06666666666666667,23,3.4782608695652173,17.565217391304348,144,5,0
/blog/counseling-in-the-workplace-the-rising-need-for-corporate-mental-health-support,80,0.11764705882352941,26,3.076923076923077,14.692307692307692,140,0,0
/blog/top-mba-specializations-to-choose-from-in-2026,79,0.03571428571428571,15,5.266666666666667,117.66666666666667,117,0,0
/blog/campus/school-of-pharmacy,78,0.09523809523809523,37,2.108108108108108,36.891891891891895,141,0,0
/blog/ugc's-revamped-curriculum-and-credit-method:-a-detailed-analysis,78,0.14285714285714285,33,2.3636363636363638,0.24242424242424243,146,0,0
/blog/mba-for-executives-a-look-at-the-trending-specializations-of-2024,77,0.19230769230769232,15,5.133333333333334,50.333333333333336,128,0,0
/blog/how-the-chancellors-scholarship-changed-arpeet-chettris-life-at-medhavi-skills-university,76,0.03571428571428571,25,3.04,8.92,121,0,0
/blog/bsc-hospitality-hotel-administration-sikkim,75,0.06666666666666667,14,5.357142857142857,75.07142857142857,128,0,0
/blog/explore-the-power-of-on-the-job-learning-at-medhavi-skills-university,74,0.03125,20,3.7,26.95,106,0,0
/blog/top-career-options-after-doing-a-bba-degree,74,0.041666666666666664,13,5.6923076923076925,47.53846153846154,122,0,0
/blog/experience-and-explore-skill-electives-field-trips-at-medhavi-skills-university,73,0.037037037037037035,15,4.866666666666666,42.8,118,0,0
/blog/west-bengal-class-12th-results-are-out-and-what-comes-next-could-shape-your-future,73,0.07692307692307693,22,3.3181818181818183,10.636363636363637,131,0,0
/blog/everything-you-need-to-know-about-b.sc-medical-laboratory-technology,72,0.1935483870967742,31,2.3225806451612905,0.25806451612903225,132,0,0
/blog/campus/school-of-management-and-commerce,71,0.041666666666666664,46,1.5434782608695652,70.71739130434783,120,0,0
/blog/why-paramedical-industry-is-a-great-career-choice-after-12th,71,0,17,4.176470588235294,29.823529411764707,117,0,0
/blog/bba-business-management-colleges-sikkim,70,0.09375,18,3.888888888888889,43.5,102,0,0
/blog/how-to-choose-the-right-course-after-12th-a-practical-decision-guide,70,0.07692307692307693,18,3.888888888888889,23,109,0,0
/blog/if-you-want-to-establish-yourself-in-the-professional-industry-an-mba-is-the-key,70,0.047619047619047616,7,10,101.14285714285714,106,0,0
/blog/learning-beyond-books-how-business-labs-shape-real-world-careers,70,0.043478260869565216,13,5.384615384615385,34.46153846153846,110,0,0
/blog/the-future-of-work-based-learning-programs-unlocking-success-in-the-modern-era,70,0.08333333333333333,9,7.777777777777778,96.88888888888889,103,0,0
/blog/campus/school-of-bio-science,68,0,3,22.666666666666668,109.66666666666667,84,0,0
/blog/career-prospects-after-studying-b-tech-in-computer-science-engineering,68,0.09523809523809523,14,4.857142857142857,48.357142857142854,113,0,0
/blog/neet-ug-counselling-common-mistakes-to-avoid,67,0.07894736842105263,35,1.9142857142857144,16.428571428571427,130,0,0
/blog/from-msu-to-milan-adityas-inspiring-leap-into-luxury-brand-management,66,0.12,19,3.473684210526316,29.36842105263158,119,0,0
/blog/how-to-identify-the-best-career-focused-courses-after-12th-with-stream-wise-guide,66,0.09090909090909091,16,4.125,50.375,119,5,0
/blog/preparing-the-workforce-for-industry-40-the-role-of-msu-wise,65,0.08695652173913043,13,5,34.07692307692308,100,0,0
/blog/unveiling-the-finest-colleges-in-sikkim-for-arts-education,65,0.1,16,4.0625,29.75,106,0,0
/blog/what-you-need-to-know-before-enrolling-in-a-radiology-and-imaging-technology-course,65,0.04,17,3.823529411764706,10.058823529411764,115,0,0
/blog/campus/school-of-hospitality-and-tourism,63,0.022727272727272728,38,1.6578947368421053,112.13157894736842,96,0,0
/blog/benefits-of-taking-the-testas-exam-for-indian-students,62,0,16,3.875,17.375,110,0,0
/blog/bsc-hospitality-hotel-management-sikkim,62,0.07692307692307693,16,3.875,50.125,101,0,0
/blog/explore-career-opportunities-in-the-hospitality-and-tourism-sector,62,0.11764705882352941,11,5.636363636363637,49.36363636363637,93,0,0
/blog/how-medhavi-skills-university-and-frameboxx-are-redefining-3d-animation-vfx-education,62,0,20,3.1,33.1,117,0,0
/blog/strategic-finance-mba-your-path-to-becoming-a-future-cfo,62,0.047619047619047616,15,4.133333333333334,30.333333333333332,103,0,0
/blog/top-mba-specializations-to-choose-from-in-2024,62,0.13043478260869565,21,2.9523809523809526,4.0476190476190474,106,0,0
/blog/how-is-the-higher-education-industry-responding-to-the-skills-gap,61,0.18181818181818182,12,5.083333333333333,138.08333333333334,98,0,0
/blog/the-must-have-skills-for-every-artists-to-be,61,0.2,10,6.1,43.4,91,0,0
/blog/closing-the-skills-gap-in-rural-india-medhavi-skills-universitys-wise-solution,60,0.058823529411764705,13,4.615384615384615,9.76923076923077,88,0,0
/blog/top-5-career-opportunities-for-students-with-a-degree-in-hospitality-management,60,0,20,3,8.75,110,0,0
/blog/reducing-employee-onboarding-time-work-integrated-model,59,0.03333333333333333,25,2.36,40.2,102,0,0
/blog/why-should-you-pursue-healthcare-studies,59,0.13043478260869565,21,2.8095238095238093,10.047619047619047,108,0,0
/blog/chro-future-ready-teams-work-integrated-degree-programmes,58,0.10714285714285714,13,4.461538461538462,86.23076923076923,93,0,0
/blog/why-working-professionals-should-upskill-with-a-psychology-program,58,0,12,4.833333333333333,29,92,0,0
/blog/brewing-careers-in-hospitality-inside-chai-points-bvoc-partnership-with-medhavi-skills-university,57,0.10526315789473684,14,4.071428571428571,54.92857142857143,89,0,0
/blog/india’s-only-ugc-approved-bba-in-logistics-with-on-job-training-at-om-logistics-ltd.,57,0.08333333333333333,5,11.4,11,73,0,0
/blog/learning-by-doing-how-msus-hospitality-students-gain-confidence-competence-and-clarity-through-on-job-training,54,0.14285714285714285,16,3.375,40.375,92,0,0
/blog/why-work-integrated-skill-based-higher-education-wise-is-the-need-of-the-hour,54,0.058823529411764705,13,4.153846153846154,13,85,0,0
/blog/a-complete-guide-on-how-to-become-a-hotel-manager,53,0.08695652173913043,19,2.789473684210526,28.36842105263158,94,0,0
/blog/building-a-career-in-optometry-know-all-about-the-optometry-course,53,0,14,3.7857142857142856,12.071428571428571,86,0,0
/blog/why-should-you-be-taking-paramedical-courses-in-india,53,0,18,2.9444444444444446,29.666666666666668,91,0,0
/blog/build-your-career-in-business-management-education-opportunities-and-salary-insights,52,0.1875,14,3.7142857142857144,19.928571428571427,87,0,0
/blog/key-benefits-of-learning-cloud-computing-for-your-career,52,0.05555555555555555,14,3.7142857142857144,35.642857142857146,94,0,0
/blog/english-and-communication-skill-challenge-2023,51,0.15789473684210525,8,6.375,30.25,83,0,0
/blog/nursing-jobs-in-germany-for-indian-nurses:-latest-trends-and-opportunities,51,0,14,3.642857142857143,1.9285714285714286,83,0,0
/blog/why-a-bba-in-jewellery-design-and-management-is-the-smartest-gateway-to-indias-glamorous-gems-and-jewellery-industry,50,0.10526315789473684,12,4.166666666666667,61.25,76,0,0
/blog/why-every-business-should-subscribe-to-msu-wise,50,0.1,14,3.5714285714285716,10.5,83,0,0
/blog/a-win-win-for-employers-and-students-the-economic-benefits-of-wise,49,0.1111111111111111,11,4.454545454545454,69.72727272727273,80,0,0
/blog/what-is-on-the-job-learning-why-its-a-game-changer-for-career-ready-education,49,0,13,3.769230769230769,21.846153846153847,82,0,0
/blog/understanding-ncrf-and-its-nuances:-a-comprehensive-guide,48,0,19,2.526315789473684,0.8947368421052632,88,0,0
/blog/learning-hospitality-management-through-real-guest-scenarios-at-msu,47,0.11764705882352941,14,3.357142857142857,23.714285714285715,84,0,0
/blog/medhavi-skills-universitys-wise-programs-making-higher-education-affordable-and-accessible,47,0.05555555555555555,15,3.1333333333333333,20.266666666666666,73,0,0
/blog/unlocking-the-secrets-to-great-hospitality-a-hotel-management-perspective,47,0.058823529411764705,14,3.357142857142857,31.285714285714285,89,0,0
/blog/what-can-you-do-with-a-music-technology-degree,47,0.058823529411764705,15,3.1333333333333333,8.466666666666667,81,0,0
