# ----------------------------------------
# Medhavi Skills University website
# Free form-Free form 1
# 20260827-20260923
# ----------------------------------------

Device category,mobile,desktop,tablet,Totals
City,Active users,Active users,Active users,Active users
Dammam,10,4,0,14
Dhaka,6,8,0,14
Dibrugarh,10,4,0,14
Erode,12,2,0,14
Gaya,8,5,1,14
Hangzhou,0,14,0,14
Jeddah,8,6,0,14
Karachi,6,8,0,14
Shanghai,0,14,0,14
Vellore,9,5,0,14
Bhilai,9,4,0,13
Bilaspur,12,1,0,13
Firozabad,6,7,0,13
Jangipur,11,2,0,13
Baddi,8,4,0,11
Bankura,9,3,0,12
Junagadh,11,1,0,12
Kalaburagi,10,2,0,12
Mirzapur,10,2,0,12
Tezpur,7,5,0,12
Altoona,8,3,0,11
Ambernath,9,2,0,11
Barrackpore,7,4,0,11
Bathinda,10,1,0,11
Chhindwara,8,3,0,10
Haldia,6,5,0,11
Kaithal,5,6,0,11
Kuala Lumpur,5,5,1,11
Motihari,9,2,0,11
Purnia,10,1,0,11
Rajpur Sonarpur,4,7,0,11
Tirur,9,2,0,11
Balangir,10,0,0,10
Chakpachuria,4,6,0,10
Dimapur,7,3,0,10
Gallatin,8,2,0,10
Gordhan Vilas Rural,8,2,0,10
Guangzhou,1,9,0,10
Jhansi,8,2,0,10
Koyilandi,3,7,0,10
Lahore,4,6,0,10
Sri Ganganagar,4,6,0,10
Ujjain,6,4,0,10
Haiphong,0,9,0,9
Johannesburg,5,1,3,9
Kakinada,6,3,0,9
Katihar,6,3,0,9
Purulia,7,2,0,9
Shenzhen,2,7,0,9
Sri Vijaya Puram,6,3,0,9
Talegaon Dabhade R,8,0,1,9
The Dalles,0,9,0,9
Tonk,7,2,0,9
Arrah,7,0,1,8
Baranagar,6,2,0,8
Colombo,4,3,1,8
Contai,3,5,0,8
Darbhanga,5,3,0,8
Davangere,6,2,0,8
Hanamkonda,8,0,0,8
Harbin,0,8,0,8
Jalgaon,6,1,1,8
Kharar,6,2,0,8
Los Angeles,2,6,0,8
Mancherial,8,0,0,8
Mandsaur,7,1,0,8
Muscat,7,1,0,8
Palakkad,4,4,0,8
Perinthalmanna,2,6,0,8
Ratlam,8,0,0,8
Shinjuku City,0,8,0,8
Sohna,4,4,0,8
Yantai,0,8,0,8
Yerevan,3,5,0,8
Zhengzhou,0,8,0,8
Bhabat,4,3,0,7
Bolpur,4,3,0,7
