# ----------------------------------------
# Medhavi Skills University website
# Free form-Free form 1
# 20260827-20260923
# ----------------------------------------

Landing page + query string,Sessions,Event count,Engagement rate
/course/diploma-in-emergency-medical-technology,64,299,1
/course/diploma-in-medical-laboratory-technology,16,67,1
/course/diploma-in-medical-radiology-and-imaging-technology,66,329,1
/course/doctor-of-philosophy-phd,62,245,0.9838709677419355
/course/germany-nursing,3,11,1
/course/m-com-in-professional-accounting,15,75,1
/course/m-sc-in-clinical-microbiology,13,57,0.9230769230769231
/course/m-sc-in-dialysis-therapy,24,139,1
/course/m-sc-in-medical-laboratory-technology,28,151,1
/course/m-sc-in-medical-radiology-and-imaging-technology,69,413,1
/course/m-sc-in-medical-radiology-and-imaging-technology?hl=en-US,1,4,1
/course/ma-in-applied-english,26,118,0.9230769230769231
/course/master-of-advanced-care-paramedic,22,101,1
/course/master-s-in-anesthesia-and-operation-theatre-technology,99,472,1
/course/masters-in-optometry,23,107,1
/course/mba-in-business-finance,9,37,1
/course/mba-in-strategic-marketing,11,49,1
/course/mba-in-tech-hr,17,78,1
/course/mca-in-cyber-security,19,86,1
/course/mca-in-data-analytics,25,133,1
/course/professional-diploma-in-hospitality-and-hotel-management,28,135,1
/crux/ma-in-psychology,5,20,1
/crux/master-of-hospitality-administration,1,2,1
/crux/work-integrated-msc-in-learning-experience-design-and-edtech,1,1,1
/d-voc-in-hospitality-operations-chaipoint/,1,3,1
/diploma,6,9,1
/diploma-in-operation-theatre-technology/,1,3,1
/diploma-in-radiology-and-imaging-technology/,1,3,1
/eligibility-criteria,1,1,1
/events/establishment-of-medhavi-skills-universitys-shine-centre-in-kochi-kerala,2,3,1
/fees-structure-2026-2027,16,45,1
/genesis/,1,3,1
/germany-automation-course,1,4,1
/google-reviews,2,2,1
/gujarat,2,6,1
/hotel-and-hospitality-operations/,1,1,1
/iac/bsc-hospitality-hotel-management,3,13,1
/iaf-mou/,1,5,1
/industry-co-led-ug-programmes,1,2,1
/industry-co-led-ug-programmes/nephros/diploma-in-dialysis-technology,1,1,1
/industry-co-led-ug-programmes/redversity/diploma-in-emergency-medical-technology,1,2,1
/kerala,3,9,1
/leadership,4,14,1
/medhavi-foundation,1,1,1
/medhavi-wise,1,13,1
/medhavi-wise/profile,1,5,1
/msu-crux,4,9,1
/msu-ph-d-application-form,1,2,1
/nep-compliance,1,2,1
/our-faculty,8,14,1
/partner-registration,1,1,1
/pedagogy,1,1,1
/placement-cell-and-activities,3,6,1
/postgraduate,20,44,1
/press-and-media/medhavi-skills-university-pioneers-shine-empowering-sikkimese-youth-for-global-careers,1,2,1
/privacy-policy,1,2,1
/professional-diploma-in-hospitality-and-hotel-operations/,1,6,1
/prospectus,1,4,1
/recognitions-and-accreditations,2,6,1
/scholarship-financial-aid,2,4,1
/school/school-of-computer-science-and-engineering,1,1,1
/school/school-of-hospitality-and-tourism,3,6,1
/skilling,6,17,1
/student-login,5,9,1
/torfl,1,2,1
/ugc,1,1,1
/undergraduate,37,72,1
/usa-nursing-course,1,3,1
/who-we-are,7,18,1
/why-medhavi-skills-university,1,2,1
/wise,8,18,1

