# ----------------------------------------
# Tech details: Device category
# Account: Medhavi Skills University Sikkim
# Property: Medhavi Skills University website
# ----------------------------------------
# 
# All Users
# Start date: 20260101
# End date: 20260923
Device category,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,Total revenue
mobile,249262,248162,307577,0.9720867611224713,1.2339506222368433,52.42864937294895,2617119,2313,0
desktop,84186,80189,147335,0.8870846353461096,1.750112845366213,173.1322072553631,1816219,3221,0
tablet,1557,1507,2520,0.9794014768752429,1.6184971098265897,134.1933204881182,27719,22,0
smart tv,7,2,7,1,1,10.285714285714286,18,0,0
